"id","name","type","parent_id"
"020206","São Barnabé","3","0202"
"081306","São Marcos da Serra","3","0813"
"021112","Pereiras-Gare","3","0211"
"080203","Martim Longo","3","0802"
"080202","Giões","3","0802"
"080204","Pereiro","3","0802"
"020205","Santa Cruz","3","0202"
"080201","Alcoutim","3","0802"
"020204","Santa Clara-a-Nova","3","0202"
"021103","Saboia","3","0211"
"020908","São Pedro de Solis","3","0209"
"020202","Gomes Aires","3","0202"
"021206","Santana da Serra","3","0212"
"020207","Senhora da Graça de Padrões","3","0202"
"021104","Santa Clara-a-Velha","3","0211"
"021114","Zambujeira do Mar","3","0211"
"020201","Almodôvar","3","0202"
"020909","São Sebastião dos Carros","3","0209"
"021116","Boavista dos Pinheiros","3","0211"
"020208","Aldeia dos Fernandes","3","0202"
"020903","Espírito Santo","3","0209"
"020203","Rosário","3","0202"
"021109","São Teotónio","3","0211"
"021115","Luzianes-Gare","3","0211"
"020907","São Miguel do Pinheiro","3","0209"
"021105","Odemira (Santa Maria)","3","0211"
"020604","Santa Bárbara de Padrões","3","0206"
"021108","Odemira (São Salvador)","3","0211"
"020906","São João dos Caldeireiros","3","0209"
"021107","São Martinho das Amoreiras","3","0211"
"021117","Longueira/Almograve","3","0211"
"021203","Ourique","3","0212"
"021202","Garvão","3","0212"
"021102","Relíquias","3","0211"
"021205","Santa Luzia","3","0212"
"021106","São Luís","3","0211"
"020902","Corte do Pinto","3","0209"
"020905","Santana de Cambas","3","0209"
"020605","São Marcos da Ataboeira","3","0206"
"020601","Casével","3","0206"
"021201","Conceição","3","0212"
"020603","Entradas","3","0206"
"021101","Colos","3","0211"
"021111","Vila Nova de Milfontes","3","0211"
"020602","Castro Verde","3","0206"
"020904","Mértola","3","0209"
"020901","Alcaria Ruiva","3","0209"
"021204","Panóias","3","0212"
"021113","Bicos","3","0211"
"021110","Vale de Santiago","3","0211"
"150903","Cercal","3","1509"
"020103","Messejana","3","0201"
"020501","Albernoa","3","0205"
"150911","Vale de Água","3","1509"
"020105","Rio de Moinhos","3","0201"
"020517","Trindade","3","0205"
"150909","São Domingos","3","1509"
"020504","Cabeça Gorda","3","0205"
"020101","Aljustrel","3","0201"
"021301","Vila Nova de São Bento","3","0213"
"020508","Salvada","3","0205"
"020104","São João de Negrilhos","3","0201"
"150902","Alvalade","3","1509"
"020510","Santa Clara de Louredo","3","0205"
"100106","Cela","3","1001"
"100115","Vestiaria","3","1001"
"101613","Serro Ventoso","3","1016"
"100104","Bárrio","3","1001"
"121206","Nossa Senhora da Graça","3","1212"
"120501","Nossa Senhora da Graça de Póvoa e Meadas","3","1205"
"100113","Aljubarrota (São Vicente)","3","1001"
"140114","Souto","3","1401"
"100111","Aljubarrota (Prazeres)","3","1001"
"101603","Alvados","3","1016"
"141308","Penhascoso","3","1413"
"141813","São Pedro de Tomar","3","1418"
"101101","Famalicão","3","1011"
"101601","Alcaria","3","1016"
"121208","São Matias","3","1212"
"100109","Maiorga","3","1001"
